timestamp,temperature_C
2025-12-05T12:15:25.281943,21.1
2025-12-05T12:15:26.347189,21.1
2025-12-05T12:15:27.330066,21.1
2025-12-05T12:15:28.281294,21.1
2025-12-05T12:15:29.284299,21.1
2025-12-05T12:15:30.281386,21.1
2025-12-05T12:15:31.282870,21.1
2025-12-05T12:15:32.319810,21.1
2025-12-05T12:15:33.299806,21.1
2025-12-05T12:15:34.335156,21.1
2025-12-05T12:15:35.287498,21.1
2025-12-05T12:15:36.281807,21.1
2025-12-05T12:15:37.320800,21.1
2025-12-05T12:15:38.322180,21.1
2025-12-05T12:15:39.340245,21.1
2025-12-05T12:15:40.281241,21.1
2025-12-05T12:15:41.281366,21.1
2025-12-05T12:15:42.281248,21.1
2025-12-05T12:15:43.282070,21.1
2025-12-05T12:15:44.328735,21.1
2025-12-05T12:15:45.281951,21.1
2025-12-05T12:15:46.280798,21.1
2025-12-05T12:15:47.281511,21.1
2025-12-05T12:15:48.281325,21.1
2025-12-05T12:15:49.331720,21.1
2025-12-05T12:15:50.280964,21.1
2025-12-05T12:15:51.281537,21.1
2025-12-05T12:15:52.281238,21.1
2025-12-05T12:15:53.285336,21.1
2025-12-05T12:15:54.285151,21.1
2025-12-05T12:15:55.286408,21.1
2025-12-05T12:15:56.281282,21.1
2025-12-05T12:15:57.281769,21.1
2025-12-05T12:15:58.339941,21.1
2025-12-05T12:15:59.290147,21.1
2025-12-05T12:16:00.281321,21.1
2025-12-05T12:16:01.293006,21.1
2025-12-05T12:16:02.281524,21.1
2025-12-05T12:16:03.281348,21.1
2025-12-05T12:16:04.280878,21.1
2025-12-05T12:16:05.281130,21.1
2025-12-05T12:16:06.371874,21.1
2025-12-05T12:16:07.281510,21.1
2025-12-05T12:16:08.281741,21.1
2025-12-05T12:16:09.297273,21.1
2025-12-05T12:16:10.281230,21.1
2025-12-05T12:16:11.299737,21.1
2025-12-05T12:16:12.316939,21.1
2025-12-05T12:16:13.301543,21.1
2025-12-05T12:16:14.285777,21.1
2025-12-05T12:16:15.281873,21.1
2025-12-05T12:16:16.281228,21.1
2025-12-05T12:16:17.281042,21.1
2025-12-05T12:16:18.287068,21.1
2025-12-05T12:16:19.288891,21.1
2025-12-05T12:16:20.288404,21.1
2025-12-05T12:16:21.280997,21.1
2025-12-05T12:16:22.310083,21.1
2025-12-05T12:16:23.294635,21.1
2025-12-05T12:16:24.281878,21.1
2025-12-05T12:16:25.280898,21.1
2025-12-05T12:16:26.281449,21.1
2025-12-05T12:16:27.281305,21.1
2025-12-05T12:16:28.282172,21.1
2025-12-05T12:16:29.329195,21.1
2025-12-05T12:17:17.630796,21.1
2025-12-05T12:17:18.281383,21.1
2025-12-05T12:17:19.472427,21.1
2025-12-05T12:17:20.456202,21.1
2025-12-05T12:17:21.389664,21.1
2025-12-05T12:17:22.692545,21.1
